ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06ckg*,ELC3,Cooper Foster,Foster,PIT,C,FA,20,,"525,000",0,0,5%,,"06ckg,ELC3"
*06imp*,ELC2,Noel Fransen,Fransen,CAR,D,FA,19,,"525,000",0,0,25%,,"06imp,ELC2"
*06qqe*,ELC1,Semyon Frolov,Frolov,CAR,G,FA,18,,"525,000",0,0,26%,,"06qqe,ELC1"
*06jhd*,ELC1,Anton Frondell,Frondell,CHI,C,FA,18,,"525,000",0,0,50%,,"06jhd,ELC1"
*06tyu*,ELC1,Linus Funck,Funck,COL,D,FA,18,,"525,000",0,0,10%,,"06tyu,ELC1"
*06mqq*,ELC2,Denis Gabdrakhmanov,Gabdrakhmanov,FLA,G,FA,20,,"525,000",0,0,6%,,"06mqq,ELC2"
*06sq2*,ELC1,Matthew Gard,Gard,PHI,LW,FA,18,,"525,000",0,0,20%,,"06sq2,ELC1"
*06c73*,ELC3,Brad Gardiner,Gardiner,DAL,C,FA,20,,"525,000",0,0,2%,,"06c73,ELC3"
*06pyv*,ELC1,Milton Gastrin,Gastrin,WSH,C,FA,18,,"525,000",0,0,32%,,"06pyv,ELC1"
*06spv*,ELC1,Eddie Genborg,Genborg,DET,LW,FA,18,,"525,000",0,0,25%,,"06spv,ELC1"
*06bam*,ELC3,Andrew Gibson,Gibson,NSH,D,FA,20,,"525,000",0,0,30%,,"06bam,ELC3"
*06mcz*,ELC2,Marcus Gidlof,Gidlof,NYI,G,FA,19,,"525,000",0,0,35%,,"06mcz,ELC2"
*06clr*,ELC3,Olof Glifford,Glifford,FLA,G,FA,20,,"525,000",0,0,6%,,"06clr,ELC3"
*06mck*,ELC2,Hiroki Gojsic,Gojsic,NSH,RW,FA,19,,"525,000",0,0,15%,,"06mck,ELC2"
*06c76*,ELC3,Terrell Goldsmith,Goldsmith,UTA,D,FA,20,,"525,000",0,0,10%,,"06c76,ELC3"
*06mgw*,ELC2,Jan Golicic,Golicic,TBL,D,FA,18,,"525,000",0,0,10%,,"06mgw,ELC2"
*06tdo*,ELC1,Mans Goos,Goos,DAL,G,FA,18,,"525,000",0,0,18%,,"06tdo,ELC1"
*06mqr*,ELC2,Stepan Gorbunov,Gorbunov,FLA,C,FA,18,,"525,000",0,0,8%,,"06mqr,ELC2"
*06tat*,ELC1,Brandon Gorzynski,Gorzynski,DAL,LW,FA,18,,"525,000",0,0,10%,,"06tat,ELC1"
*06mql*,ELC2,Rico Gredig,Gredig,NYR,LW,FA,20,,"525,000",0,0,0%,,"06mql,ELC2"
*06tb5*,ELC1,Owen Griffin,Griffin,CBJ,C,FA,18,,"525,000",0,0,13%,,"06tb5,ELC1"
*06mqz*,ELC2,Elliott Groenewold,Groenewold,BOS,D,FA,19,,"525,000",0,0,10%,,"06mqz,ELC2"
*06c9h*,ELC3,Rudy Guimond,Guimond,DET,G,FA,20,,"525,000",0,0,15%,,"06c9h,ELC3"
*06nkd*,ELC1,Emile Guite,Guite,ANA,LW,FA,18,,"525,000",0,0,10%,,"06nkd,ELC1"
*06mjm*,ELC2,Viggo Gustafsson,Gustafsson,NSH,D,FA,18,,"525,000",0,0,10%,,"06mjm,ELC2"
*06ag2*,ELC1,James Hagens,Hagens,BOS,C,FA,18,,"525,000",0,0,50%,,"06ag2,ELC1"
*06uhd*,ELC1,Theodor Hallquisth,Hallquisth,MIN,D,FA,18,,"525,000",0,0,12%,,"06uhd,ELC1"
*066qt*,ELC3,Lenni Hameenaho,Hameenaho,NJD,RW,FA,20,,"525,000",0,0,42%,,"066qt,ELC3"
